epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,1.216248333454132,1.2081236839294434,0.7556660175323486,0.6090337634086609,0.001,4.431591987609863
2,1.0774450659751893,0.7208123803138733,0.9147791266441345,0.8431747555732727,0.001,4.430403470993042
3,0.9953944623470307,0.6557148098945618,0.8742789030075073,0.7807929515838623,0.001,4.353695869445801
4,0.9531505882740021,0.6963105797767639,0.8298193216323853,0.7191292643547058,0.001,4.3820109367370605
5,0.9242763459682465,0.7789508700370789,0.8664684891700745,0.7655255794525146,0.001,4.586911678314209
6,0.8814447820186615,0.6064044833183289,0.9278652667999268,0.8658272624015808,0.001,4.402826547622681
7,0.8550422787666321,0.5485904216766357,0.9376464486122131,0.8831065893173218,0.001,4.419925928115845
8,0.8222718000411987,0.5568937063217163,0.8932201862335205,0.809014618396759,0.001,4.334323406219482
9,0.9367892384529114,0.508945107460022,0.9193884134292603,0.8511005640029907,0.001,4.329349517822266
10,0.819524735212326,0.45180976390838623,0.9038981199264526,0.8250377178192139,0.001,4.361053705215454
11,0.7517443537712097,0.46066492795944214,0.8903127908706665,0.8047066926956177,0.001,4.326224088668823
12,0.7736440658569336,0.4820215702056885,0.8829049468040466,0.794042706489563,0.001,4.380725622177124
13,0.7720039069652558,0.40359407663345337,0.915127158164978,0.8453823924064636,0.0005,4.407028436660767
14,0.7003455817699432,0.40277764201164246,0.8968609571456909,0.8162162899971008,0.0005,4.479919672012329
15,0.6898832798004151,0.4180888235569,0.9214979410171509,0.8550103902816772,0.0005,4.630342960357666
16,0.6626610815525055,0.41451913118362427,0.9201146960258484,0.8536691069602966,0.0005,4.794691324234009
17,0.6893371164798736,0.37945666909217834,0.9250162243843079,0.8613477349281311,0.0005,4.574137449264526
18,0.8339412927627563,0.40628162026405334,0.9419298768043518,0.8908323049545288,0.0005,5.560334920883179
19,0.6957003593444824,0.34937500953674316,0.9291828870773315,0.8682066202163696,0.0005,4.493579864501953
20,0.715143495798111,0.3726211488246918,0.924869954586029,0.8606427907943726,0.0005,4.301356315612793
21,0.6596581608057022,0.39080333709716797,0.931720495223999,0.8724501729011536,0.0005,4.345049619674683
22,0.6629897654056549,0.3600982129573822,0.9207658767700195,0.8534991145133972,0.0005,4.335136651992798
23,0.644902765750885,0.3202117681503296,0.9395749568939209,0.8864720463752747,0.0005,4.309838771820068
24,0.7077850729227066,0.29592978954315186,0.9396371841430664,0.886559009552002,0.00025,4.29913067817688
25,0.6227333426475525,0.306736558675766,0.939238429069519,0.8858730792999268,0.00025,4.347970247268677
26,0.603865060210228,0.3290519416332245,0.9369175434112549,0.8817844390869141,0.00025,4.33420991897583
27,0.6655497819185257,0.31963253021240234,0.9398123025894165,0.8869005441665649,0.00025,4.323686599731445
28,0.699834355711937,0.3163564205169678,0.9397172927856445,0.8867518901824951,0.00025,4.333106517791748
29,0.636119544506073,0.33365365862846375,0.9348190426826477,0.8779807090759277,0.00025,4.485901117324829
30,0.756255379319191,0.32116806507110596,0.9402118921279907,0.8875175714492798,0.000125,4.346785068511963
31,0.6176373273134231,0.3237805962562561,0.9373477697372437,0.8824141025543213,0.000125,4.399860858917236
32,0.6464513868093491,0.3241764008998871,0.9397585391998291,0.886747419834137,0.000125,4.352526903152466
33,0.5972863554954528,0.32459115982055664,0.9411172866821289,0.8892202377319336,0.000125,4.347163438796997
34,0.7671996355056763,0.30367639660835266,0.9427789449691772,0.8921172022819519,0.000125,4.319271802902222
35,0.5964231014251709,0.31989675760269165,0.9379816651344299,0.8835750818252563,0.000125,4.413258790969849
36,0.5856106221675873,0.31419360637664795,0.9396358728408813,0.8864401578903198,0.000125,4.342418193817139
37,0.5809130370616913,0.29806894063949585,0.9414012432098389,0.8895927667617798,0.000125,4.321547746658325
38,0.5740791022777557,0.30011412501335144,0.9428268671035767,0.8920937776565552,0.000125,4.355102300643921
39,0.5659795701503754,0.2908852696418762,0.9435837268829346,0.8934622406959534,0.000125,4.514332056045532
40,0.6261988580226898,0.29006314277648926,0.940678596496582,0.8882770538330078,0.000125,4.798356771469116
