epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,1.211055588722229,1.3814828395843506,0.44009000062942505,0.300405889749527,0.0001,1.1172454357147217
2,0.9902961492538452,1.0363295078277588,0.6515430212020874,0.5011028051376343,0.0001,0.7290611267089844
3,0.9000111103057862,0.800194501876831,0.7808070778846741,0.6567710638046265,0.0001,0.7175283432006836
4,0.8062881469726563,0.6646047830581665,0.8435841798782349,0.7373656034469604,0.0001,0.6940045356750488
5,0.75357004404068,0.5880934000015259,0.8653923273086548,0.7673608660697937,0.0001,0.7108721733093262
6,0.7191665530204773,0.5152192115783691,0.9020806550979614,0.8236017227172852,0.0001,0.6914834976196289
7,0.6639247417449952,0.47183191776275635,0.9161820411682129,0.8462057113647461,0.0001,0.7051239013671875
8,0.6452792286872864,0.43733248114585876,0.9060783386230469,0.8303439617156982,0.0001,0.7257108688354492
9,0.6112343549728394,0.41672587394714355,0.9000879526138306,0.8212665319442749,0.0001,0.6703958511352539
10,0.5896873712539673,0.4093326926231384,0.8985738754272461,0.8184959888458252,0.0001,0.7147030830383301
11,0.5694844722747803,0.4073508679866791,0.9007910490036011,0.8220252394676208,0.0001,0.6782834529876709
12,0.555828845500946,0.387803316116333,0.9109877347946167,0.8394083380699158,0.0001,0.7063343524932861
13,0.552638155221939,0.3980809152126312,0.8902687430381775,0.8076609373092651,5e-05,0.690549373626709
14,0.5298741817474365,0.3804513216018677,0.9013434648513794,0.8248239755630493,5e-05,0.7119350433349609
15,0.5127237796783447,0.36710965633392334,0.9131899476051331,0.843109130859375,5e-05,0.6905462741851807
16,0.4872792482376099,0.36519813537597656,0.9182262420654297,0.8511953949928284,5e-05,0.6893024444580078
17,0.48210626244544985,0.3728930950164795,0.9070852994918823,0.8336157202720642,5e-05,0.7225723266601562
18,0.4842180013656616,0.38407766819000244,0.8979359865188599,0.8197861313819885,5e-05,0.6722781658172607
19,0.5058997452259064,0.3710612952709198,0.9153393507003784,0.8470500707626343,5e-05,0.7112283706665039
20,0.45995898842811583,0.35782361030578613,0.9272431135177612,0.8663401007652283,5e-05,0.670783519744873
21,0.4801042556762695,0.3429161310195923,0.9267603158950806,0.8659287691116333,5e-05,0.6772933006286621
22,0.48037651777267454,0.33917397260665894,0.9222617745399475,0.8577448129653931,5e-05,0.7189416885375977
23,0.43735831379890444,0.3336302936077118,0.9217147827148438,0.8564803600311279,5e-05,0.6961216926574707
24,0.4455763459205627,0.3244246244430542,0.9357656836509705,0.8801380395889282,5e-05,0.7256731986999512
25,0.42329356670379636,0.3314943313598633,0.9372637271881104,0.8825965523719788,5e-05,0.7066700458526611
26,0.436738109588623,0.32505568861961365,0.9335402250289917,0.8761991858482361,5e-05,0.6958417892456055
27,0.44558716416358946,0.31841498613357544,0.9319683909416199,0.8738650679588318,5e-05,0.703139066696167
28,0.40608309507369994,0.3268692195415497,0.9251354336738586,0.8627846240997314,5e-05,0.7174053192138672
29,0.4742739796638489,0.3177488148212433,0.9313213229179382,0.8731135129928589,5e-05,0.7210986614227295
30,0.4311458826065063,0.3080601692199707,0.9375151991844177,0.8830248117446899,5e-05,0.7081084251403809
31,0.4187028527259827,0.30043086409568787,0.9397975206375122,0.8871877193450928,5e-05,0.6645331382751465
32,0.4326170027256012,0.2954704165458679,0.9403432607650757,0.888555645942688,5e-05,0.6792416572570801
33,0.38191625475883484,0.31391215324401855,0.9332026243209839,0.8758945465087891,5e-05,0.6803014278411865
34,0.4167439043521881,0.30887770652770996,0.9354236721992493,0.87989741563797,5e-05,0.6949748992919922
35,0.3909373104572296,0.30338090658187866,0.9340813159942627,0.8773560523986816,5e-05,0.6856153011322021
36,0.402579540014267,0.2900492548942566,0.9396528005599976,0.8873368501663208,5e-05,0.6884713172912598
37,0.37477247714996337,0.2936740219593048,0.9346953630447388,0.8791483640670776,5e-05,0.6740765571594238
38,0.3931915819644928,0.3037637174129486,0.9350976943969727,0.8790030479431152,2.5e-05,0.7137796878814697
39,0.3861901521682739,0.30202949047088623,0.9382736682891846,0.8844782710075378,2.5e-05,0.6882791519165039
40,0.3937522888183594,0.2938593327999115,0.9391789436340332,0.8862248659133911,2.5e-05,0.6987190246582031
